# Plain-language descriptions for the canonical skill vocabulary — the third side of
# the same slugs labels.go names and dictionaries.go resolves. Tab-separated:
# canonical-slug<TAB>description. Blank lines and '#' comments are skipped.
#
# Drafted by cmd/gen-skill-descriptions and edited by a human before merge. Nothing
# here is generated at request time; see descriptions.go.
#
# Every entry opens with the term itself. The model's drafts often opened "It is a…",
# which reads fine under the page's own heading and says nothing at all as a search
# snippet or in an assistant's answer — and being quotable out of context is half of
# why this dictionary exists.
accessibility	Accessibility is the practice of designing and building software so that people with disabilities can use it, covering screen-reader support, keyboard navigation, contrast and captions.
account-executive	An account executive is a sales role that owns client relationships end to end: the primary point of contact for an account, responsible for negotiating and closing deals.
agentic-ai	Agentic AI describes AI systems that plan, reason and take actions on their own to reach a goal, calling other software tools along the way rather than only answering a question.
agile	Agile is a family of project management approaches that breaks work into short repeated cycles, so a team can ship sooner and change direction on what it learns.
ai	AI is the field of building systems that perform tasks normally requiring human intelligence — learning, reasoning, recognising patterns and making decisions.
angular	Angular is a web application framework maintained by Google, used to build single-page applications and the interfaces that run in the browser.
ansible	Ansible is an open-source automation tool that configures servers, installs software and runs IT tasks across many machines from one set of instructions.
authentication	Authentication is the security process of verifying who a user or device is — checking a password, token or biometric — before a system grants access.
aws	AWS is Amazon's cloud platform, renting servers, storage, databases and hundreds of other services on demand instead of running hardware yourself.
azure	Azure is Microsoft's cloud platform for building, deploying and running applications and infrastructure across its global data centres.
azure-devops	Azure DevOps is Microsoft's software delivery platform, bundling version control, issue tracking, build pipelines and release automation in one product.
bash	Bash is the command language and shell of Unix-like systems, used to drive a machine from the terminal and to script repetitive work.
business-development	Business development is the work of growing a company through new opportunities — partnerships, markets and channels — rather than through direct selling alone.
cad	CAD (computer-aided design) is software for drafting two-dimensional drawings and three-dimensional models, used by engineers and architects in place of a drawing board.
ci-cd	CI/CD is the practice of merging code changes continuously and releasing them through an automated pipeline, so software reaches production in small, tested steps.
cloud	Cloud computing is renting computing power, storage and services over the internet on demand, rather than buying and running the hardware yourself.
cloud-native	Cloud Native describes applications built for the cloud from the start — packaged in containers, split into small services, and designed to scale and recover automatically.
confluence	Confluence is Atlassian's corporate wiki, used to write, organise and share documentation and team knowledge.
containerization	Containerization packages an application together with everything it needs to run into one isolated unit, so it behaves the same on a laptop as on a server.
cpp	C++ is a programming language for system software, engines and applications that need direct control over memory and hardware.
crm	CRM (customer relationship management) is software that records every interaction with customers and prospects in one place, so sales, support and marketing work from the same history.
csharp	C# is a general-purpose programming language built for Microsoft's .NET platform, used for web, desktop, mobile and game development.
css	CSS is the style sheet language that controls how a web page looks — layout, colour, typography and spacing — separately from its HTML content.
cybersecurity	Cybersecurity is the practice of protecting systems, networks and data from unauthorised access, theft and disruption.
data-analytics	Data analytics is the work of examining data to answer questions about a business, turning raw records into the numbers a decision is made on.
data-engineering	Data engineering is the discipline of building the systems that collect, move and store data, so analysts and models have something reliable to work from.
data-governance	Data governance is the framework of policies and ownership that decides who may use which data, how it is kept accurate, and how it stays compliant.
data-modeling	Data modeling is the design work of deciding what entities exist, how they relate and how they are stored, before a database is built.
data-pipelines	A data pipeline is an automated flow that moves data from its sources to somewhere it can be analysed, transforming and validating it on the way.
data-quality	Data quality is the practice of keeping data accurate, complete and consistent, so what is reported from it can be trusted.
data-science	Data science combines statistics, programming and machine learning to find patterns in data and turn them into predictions or decisions.
databricks	Databricks is a cloud data platform for large-scale processing, analytics and machine learning, built around Apache Spark.
design-patterns	Design patterns are named, reusable solutions to problems that recur in software design, giving developers a shared vocabulary for structuring code.
devops	DevOps is the practice of bringing development and operations together — shared ownership, automation and fast feedback — so software ships more often and breaks less.
distributed-systems	A distributed system is software running across several networked machines that coordinate to behave as one, which is what makes it able to scale and survive failures.
docker	Docker is the tool that popularised containers: it packages an application with its dependencies into an image that runs identically anywhere.
dotnet	.NET is Microsoft's development platform — runtime, libraries and tooling — for building web, desktop, mobile and cloud applications, mainly in C#.
ecommerce	E-commerce is the business of selling goods and services online, and the software behind it: storefronts, carts, payments and fulfilment.
erp	ERP (enterprise resource planning) is business software that runs finance, supply chain, manufacturing and HR on one shared system and one set of records.
etl	ETL (extract, transform, load) is the process of pulling data out of source systems, reshaping it into a common form, and loading it into a warehouse.
event-driven-architecture	Event Driven Architecture is a design in which services communicate by emitting and reacting to events rather than calling each other directly, so parts can change and scale independently.
financial-reporting	Financial reporting is the accounting work of producing an organisation's balance sheets, income statements and disclosures for management, investors and regulators.
fintech	Fintech is the use of software to deliver financial services — payments, lending, investing, insurance — in place of, or on top of, traditional banking.
gcp	GCP (Google Cloud Platform) is Google's cloud, renting compute, storage, data and machine-learning services on its infrastructure.
generative-ai	Generative AI is AI that produces new content — text, images, audio or code — from patterns learned in training, rather than classifying or predicting a value.
git	Git is the distributed version control system that records every change to a codebase and lets many people work on it at once without overwriting each other.
github	GitHub is a hosting service for Git repositories, adding code review, issue tracking and automation on top of the version control itself.
gitlab	GitLab is a DevOps platform combining Git hosting, code review, CI/CD pipelines and issue tracking in a single product.
go-to-market	Go-to-market is the plan for launching a product: who it is for, how it is priced and positioned, and through which channels it reaches customers.
html	HTML is the markup language that gives a web page its structure and content — headings, paragraphs, links and images — which the browser then renders.
iam	IAM (identity and access management) is the discipline of managing who exists in a system and what each of them is allowed to do.
infrastructure-as-code	Infrastructure as code is the practice of defining servers, networks and cloud resources in version-controlled files, so environments are built by running code rather than by hand.
jenkins	Jenkins is an open-source automation server for continuous integration and delivery, running builds, tests and deployments on every change.
jira	Jira is Atlassian's issue tracker, used to plan sprints, follow bugs and manage work on software teams.
